iv,x,y,z,boundary_flag,normal_x,normal_y,normal_z
336,0.7898222837227206,0.2105263157954121,0.9484846097348004,0,0,0,0
337,0.7421385017359837,0.177709690432739,0.928658723243676,0,0,0,0
338,0.67753779264257,0.13481046295975,0.9172125694902742,0,0,0,0
339,0.7506676895022198,0.1210915970111463,0.8799838256116038,0,0,0,0
340,0.6526792892688063,0.04764052358094063,0.830398081067002,0,0,0,0
341,0.5313225496442002,0.1117354306637719,0.9022136332802503,0,0,0,0
342,0.5680659028957352,0.1385873076313081,0.936551895055425,0,0,0,0
343,0.5406405166930434,0.07379987459881192,0.8653241028401758,0,0,0,0
344,0.6044456022971409,0.0981169686244704,0.9019388125072397,0,0,0,0
345,0.6637007521097007,0.1820724781271065,0.9466440947019102,0,0,0,0
346,0.5159020260849894,0.1908150237064808,0.9476095109217709,0,0,0,0
347,0.09806614449450554,0,0.6360493608507888,1,0,-1,0
348,0.1996885048833031,0.05372369821412751,0.8103656095115775,0,0,0,0
349,0.1446464849516545,0.06423399974821917,0.7370154867041692,0,0,0,0
350,0.2368421052606799,0,0.7748648349632126,1,0,-1,0
351,0.2105263157870957,0,0.7292845505534673,1,0,-1,0
352,0.3420871918429274,0,0.7748874173355806,1,0,-1,0
353,0.3947368421026864,0,0.7748648349634321,1,0,-1,0
354,0.2402759520369391,0.2342545258845579,0.9333230430523234,0,0,0,0
355,0.2951758896528813,0.1968718352730868,0.9193861136941226,0,0,0,0
356,0.2016434337991264,0.1874688710211612,0.9029201198190058,0,0,0,0
357,0.121401398749403,0.1179884728384774,0.8163178357341757,0,0,0,0
358,0.09116056881944082,0.4210526315811959,1,1,0,0,1
359,0.182322015664411,0.3157881962036799,1,1,0,0,1
360,0.2279014220483967,0.3421052631609697,1,1,0,0,1
361,0.08099536024930082,0.08112205660250703,0.7419771532914475,0,0,0,0
362,0,0.09260198050180327,0.6775508243288346,1,-1,0,0
363,0,0.106158125723223,0.7270931942349694,1,-1,0,0
364,0,0.04566466110524763,0.66056006646612,1,-1,0,0
365,0,0.2631113888299977,0.9088802064025576,1,-1,0,0
366,0,0.3157478155368477,0.9089021398940048,1,-1,0,0
367,0.0702339876089136,0.2636486581171077,0.9297758384529108,0,0,0,0
368,0.05096435983880312,0.3157894736857869,0.9490390165560766,0,0,0,0
369,0,0.2102484397231351,0.817880863048146,1,-1,0,0
370,0,0.2367947913965531,0.8632962664106547,1,-1,0,0
371,0.06035954739991341,0.2289174725098042,0.8784736069446988,0,0,0,0
372,0.1367408532293863,0.3421052631604837,1,1,0,0,1
